timestamp,pm25,temperature,humidity
2026-04-01 00:00:00,16.2,24.9,59.2
2026-04-01 01:00:00,15.3,25.9,57.1
2026-04-01 02:00:00,19.3,27.1,55.4
2026-04-01 03:00:00,24.7,28.1,52.3
2026-04-01 04:00:00,24.5,29.3,50.5
2026-04-01 05:00:00,29.4,30.0,50.6
2026-04-01 06:00:00,39.1,30.1,50.2
2026-04-01 07:00:00,42.3,30.2,49.9
2026-04-01 08:00:00,44.0,29.3,50.9
2026-04-01 09:00:00,50.7,29.2,53.3
2026-04-01 10:00:00,51.3,27.3,53.7
2026-04-01 11:00:00,53.2,27.6,56.2
2026-04-01 12:00:00,55.6,25.2,
2026-04-01 13:00:00,49.4,23.2,62.6
2026-04-01 14:00:00,47.8,21.9,65.5
2026-04-01 15:00:00,47.4,21.6,68.7
2026-04-01 16:00:00,42.0,20.5,69.6
2026-04-01 17:00:00,40.4,20.5,69.6
2026-04-01 18:00:00,32.2,20.2,70.0
2026-04-01 19:00:00,25.7,20.2,68.6
2026-04-01 20:00:00,28.1,20.3,68.5
2026-04-01 21:00:00,19.8,20.8,66.5
2026-04-01 22:00:00,17.5,22.4,65.0
2026-04-01 23:00:00,11.9,24.3,61.4
2026-04-02 00:00:00,13.7,25.3,60.1
2026-04-02 01:00:00,16.2,25.9,58.6
2026-04-02 02:00:00,15.2,27.8,54.5
2026-04-02 03:00:00,22.4,28.9,53.0
2026-04-02 04:00:00,24.3,29.0,51.8
2026-04-02 05:00:00,30.0,30.0,49.8
2026-04-02 06:00:00,34.4,30.0,50.2
2026-04-02 07:00:00,45.7,29.2,50.5
2026-04-02 08:00:00,45.8,29.4,51.7
2026-04-02 09:00:00,47.2,28.6,52.5
2026-04-02 10:00:00,54.9,27.8,55.5
2026-04-02 11:00:00,51.5,26.6,58.4
2026-04-02 12:00:00,55.5,24.0,62.0
2026-04-02 13:00:00,49.1,23.0,64.1
2026-04-02 14:00:00,48.4,22.5,67.7
2026-04-02 15:00:00,48.7,21.5,66.7
2026-04-02 16:00:00,45.7,20.8,69.8
2026-04-02 17:00:00,39.4,22.0,70.0
2026-04-02 18:00:00,33.4,20.3,72.2
2026-04-02 19:00:00,27.8,20.8,68.7
2026-04-02 20:00:00,20.1,21.3,67.5
2026-04-02 21:00:00,18.1,22.0,66.0
2026-04-02 22:00:00,15.9,22.7,62.2
2026-04-02 23:00:00,18.0,24.4,61.3
2026-04-03 00:00:00,15.9,25.0,58.5
2026-04-03 01:00:00,11.7,26.5,56.8
2026-04-03 02:00:00,19.3,27.6,54.7
2026-04-03 03:00:00,21.1,28.8,54.3
2026-04-03 04:00:00,24.8,30.7,51.9
2026-04-03 05:00:00,33.0,29.0,49.6
2026-04-03 06:00:00,39.3,30.3,49.1
2026-04-03 07:00:00,44.1,28.9,51.1
2026-04-03 08:00:00,,28.9,50.5
2026-04-03 09:00:00,49.6,28.8,55.4
2026-04-03 10:00:00,54.0,27.1,57.0
2026-04-03 11:00:00,57.2,25.3,57.8
2026-04-03 12:00:00,53.7,24.2,59.2
2026-04-03 13:00:00,53.3,23.6,64.9
2026-04-03 14:00:00,48.5,21.7,65.7
2026-04-03 15:00:00,44.7,21.2,69.0
2026-04-03 16:00:00,45.2,20.5,67.5
2026-04-03 17:00:00,41.6,19.7,69.3
2026-04-03 18:00:00,32.8,21.1,70.0
2026-04-03 19:00:00,30.3,20.6,69.4
2026-04-03 20:00:00,24.1,19.9,67.6
2026-04-03 21:00:00,17.8,22.0,66.9
2026-04-03 22:00:00,17.6,22.7,63.0
2026-04-03 23:00:00,19.1,24.7,61.4
2026-04-04 00:00:00,15.0,25.2,59.0
2026-04-04 01:00:00,20.3,26.8,56.8
2026-04-04 02:00:00,12.4,28.2,54.7
2026-04-04 03:00:00,24.7,29.4,51.0
2026-04-04 04:00:00,27.3,29.0,49.3
2026-04-04 05:00:00,31.4,29.8,51.4
2026-04-04 06:00:00,37.7,29.7,50.4
2026-04-04 07:00:00,37.6,29.3,50.0
2026-04-04 08:00:00,46.5,29.9,53.6
2026-04-04 09:00:00,51.7,28.3,54.0
2026-04-04 10:00:00,57.2,,57.3
2026-04-04 11:00:00,53.5,26.1,58.8
2026-04-04 12:00:00,52.8,25.4,63.4
2026-04-04 13:00:00,52.2,23.6,65.6
2026-04-04 14:00:00,53.1,21.2,65.9
2026-04-04 15:00:00,47.9,20.8,68.9
2026-04-04 16:00:00,41.2,21.0,69.9
2026-04-04 17:00:00,38.7,19.7,71.3
2026-04-04 18:00:00,32.4,20.3,68.9
2026-04-04 19:00:00,29.6,20.8,69.9
2026-04-04 20:00:00,20.9,20.6,68.9
2026-04-04 21:00:00,18.1,22.0,64.2
2026-04-04 22:00:00,15.4,21.5,62.5
2026-04-04 23:00:00,11.5,23.9,59.1
2026-04-05 00:00:00,16.0,25.6,
2026-04-05 01:00:00,17.3,26.4,56.7
2026-04-05 02:00:00,19.4,28.9,55.2
2026-04-05 03:00:00,22.6,28.3,52.0
2026-04-05 04:00:00,24.3,29.4,52.3
2026-04-05 05:00:00,31.9,30.0,48.7
2026-04-05 06:00:00,37.3,30.7,48.4
2026-04-05 07:00:00,41.2,28.8,50.8
2026-04-05 08:00:00,,29.4,52.7
2026-04-05 09:00:00,52.3,27.9,54.2
2026-04-05 10:00:00,58.5,26.3,54.4
2026-04-05 11:00:00,55.3,25.7,59.0
2026-04-05 12:00:00,55.4,24.3,60.4
2026-04-05 13:00:00,53.0,22.6,64.9
2026-04-05 14:00:00,45.6,21.8,66.8
2026-04-05 15:00:00,46.4,20.7,67.2
2026-04-05 16:00:00,42.0,20.4,
2026-04-05 17:00:00,42.8,20.3,68.9
2026-04-05 18:00:00,31.0,20.9,69.8
2026-04-05 19:00:00,27.2,19.9,70.0
2026-04-05 20:00:00,21.9,22.3,66.6
2026-04-05 21:00:00,15.6,21.2,66.2
2026-04-05 22:00:00,19.0,23.3,62.8
2026-04-05 23:00:00,16.9,24.9,60.0
2026-04-06 00:00:00,17.3,26.1,58.0
2026-04-06 01:00:00,14.7,26.9,54.6
2026-04-06 02:00:00,23.4,28.2,52.9
2026-04-06 03:00:00,20.3,28.9,50.5
2026-04-06 04:00:00,30.0,29.4,52.5
2026-04-06 05:00:00,39.2,30.4,50.1
2026-04-06 06:00:00,36.4,30.1,49.5
2026-04-06 07:00:00,42.5,29.1,51.3
2026-04-06 08:00:00,48.5,29.2,52.4
2026-04-06 09:00:00,50.4,27.9,54.3
2026-04-06 10:00:00,50.1,27.0,57.5
2026-04-06 11:00:00,55.1,25.6,60.2
2026-04-06 12:00:00,51.9,23.6,61.5
2026-04-06 13:00:00,54.0,22.5,64.0
2026-04-06 14:00:00,47.6,22.0,66.4
2026-04-06 15:00:00,49.7,21.1,66.1
2026-04-06 16:00:00,39.2,,68.0
2026-04-06 17:00:00,35.1,20.1,71.4
2026-04-06 18:00:00,32.7,20.8,71.4
2026-04-06 19:00:00,22.7,20.3,68.6
2026-04-06 20:00:00,22.0,21.6,67.9
2026-04-06 21:00:00,21.4,22.2,65.7
2026-04-06 22:00:00,11.9,,66.0
2026-04-06 23:00:00,15.5,25.4,61.5
2026-04-07 00:00:00,16.2,26.5,57.6
2026-04-07 01:00:00,19.3,27.8,54.3
2026-04-07 02:00:00,17.3,29.1,51.6
2026-04-07 03:00:00,21.2,29.3,51.7
2026-04-07 04:00:00,30.6,30.1,49.7
2026-04-07 05:00:00,35.2,29.8,48.6
2026-04-07 06:00:00,40.3,30.0,49.6
2026-04-07 07:00:00,45.4,29.3,50.1
2026-04-07 08:00:00,47.1,28.7,54.5
2026-04-07 09:00:00,52.7,27.9,55.7
2026-04-07 10:00:00,54.9,26.0,57.2
2026-04-07 11:00:00,53.2,26.1,61.3
2026-04-07 12:00:00,59.1,23.3,62.5
2026-04-07 13:00:00,53.7,22.0,64.0
2026-04-07 14:00:00,46.4,22.1,68.5
2026-04-07 15:00:00,46.9,21.1,69.1
2026-04-07 16:00:00,38.0,20.5,68.6
2026-04-07 17:00:00,37.2,20.3,69.8
2026-04-07 18:00:00,32.9,20.2,68.8
2026-04-07 19:00:00,23.1,20.2,67.3
2026-04-07 20:00:00,23.3,21.5,68.0
2026-04-07 21:00:00,18.7,22.1,66.9
