timestamp,pm25_raw,temperature,humidity,voc
2026-04-01 00:00:00,24.6,25.5,57.0,165.0
2026-04-01 01:00:00,21.2,26.7,56.5,162.0
2026-04-01 02:00:00,26.7,26.6,55.9,162.0
2026-04-01 03:00:00,30.5,28.7,51.0,173.0
2026-04-01 04:00:00,34.9,30.6,50.0,166.0
2026-04-01 05:00:00,36.1,30.7,51.7,183.0
2026-04-01 06:00:00,45.7,29.6,50.1,186.0
2026-04-01 07:00:00,,30.5,49.4,189.0
2026-04-01 08:00:00,47.9,29.9,47.4,181.0
2026-04-01 09:00:00,62.0,28.9,50.9,189.0
2026-04-01 10:00:00,57.3,26.5,54.3,182.0
2026-04-01 11:00:00,67.6,27.6,56.0,190.0
2026-04-01 12:00:00,64.9,24.9,59.6,186.0
2026-04-01 13:00:00,59.3,23.5,62.5,200.0
2026-04-01 14:00:00,58.5,20.9,66.4,189.0
2026-04-01 15:00:00,49.8,22.4,67.3,189.0
2026-04-01 16:00:00,48.3,20.3,68.8,182.0
2026-04-01 17:00:00,52.5,21.6,67.0,184.0
2026-04-01 18:00:00,42.6,20.3,67.1,195.0
2026-04-01 19:00:00,33.3,20.5,65.1,168.0
2026-04-01 20:00:00,30.3,20.5,66.2,167.0
2026-04-01 21:00:00,27.8,20.6,67.9,170.0
2026-04-01 22:00:00,25.6,24.7,61.7,144.0
2026-04-01 23:00:00,17.0,24.2,60.0,160.0
2026-04-02 00:00:00,23.1,26.4,57.2,158.0
2026-04-02 01:00:00,19.2,25.3,56.7,155.0
2026-04-02 02:00:00,18.8,28.4,53.8,166.0
2026-04-02 03:00:00,19.9,29.6,51.0,168.0
2026-04-02 04:00:00,33.9,29.3,52.5,155.0
2026-04-02 05:00:00,38.2,29.8,51.1,169.0
2026-04-02 06:00:00,36.2,30.1,45.9,154.0
2026-04-02 07:00:00,48.6,29.2,48.5,189.0
2026-04-02 08:00:00,51.8,31.6,50.8,189.0
2026-04-02 09:00:00,59.2,28.9,53.2,
